epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.47556,0,22.6784,0,0,0,0,0,0,24.2796,0,0,0,0
2,7.13524,0,22.5886,0,0,0,0,0,0,24.3005,0,1.9802e-05,1.9802e-05,1.9802e-05
3,8.61208,0,22.5383,0,0,0,0,0,0,24.3231,0,3.9208e-05,3.9208e-05,3.9208e-05
4,10.0988,0,22.4849,0,0,0,0,0,0,24.3438,0,5.8218e-05,5.8218e-05,5.8218e-05
5,11.5135,0,22.2765,0,0,0,0,0,0,24.3675,0,7.6832e-05,7.6832e-05,7.6832e-05
6,12.9203,0,22.0991,0,0,0,0,0,0,24.3941,0,9.505e-05,9.505e-05,9.505e-05
7,14.3303,0,22.0152,0,0,0,0,0,0,24.4121,0,0.000112872,0.000112872,0.000112872
8,15.7303,0,21.9109,0,0,0,0,0,0,24.4288,0,0.000130298,0.000130298,0.000130298
9,17.1902,0,21.7742,0,0,0,0,0,0,24.4534,0,0.000147328,0.000147328,0.000147328
10,18.6012,0,21.6903,0,0,0,0,0,0,24.4838,0,0.000163962,0.000163962,0.000163962
11,20.0135,0,21.5073,0,0,0,0,0,0,24.5248,0,0.0001802,0.0001802,0.0001802
12,21.4689,0,21.3351,0,0,0,0,0,0,24.5839,0,0.000196042,0.000196042,0.000196042
13,22.935,0,21.2091,0,0,0,0,0,0,24.6399,0,0.000211488,0.000211488,0.000211488
14,24.3492,0,20.9828,0,0,0,0,0,0,24.6884,0,0.000226538,0.000226538,0.000226538
15,25.7662,0,20.7665,0,0,0,0,0,0,24.7187,0,0.000241192,0.000241192,0.000241192
16,27.2226,0,20.5361,0,0,0,0,0,0,24.7377,0,0.00025545,0.00025545,0.00025545
17,28.6357,0,20.3289,0,0,0,0,0,0,24.7522,0,0.000269312,0.000269312,0.000269312
18,30.1093,0,19.8392,0,0,0,0,0,0,24.7522,0,0.000282778,0.000282778,0.000282778
19,31.6574,0,19.8711,0,0,0,0,0,0,24.7841,0,0.000295848,0.000295848,0.000295848
20,33.1773,0,19.4792,0,0,0,0,0,0,24.7841,0,0.000308522,0.000308522,0.000308522
21,34.6153,0,19.4817,0,0,0,0,0,0,24.9335,0,0.0003208,0.0003208,0.0003208
22,36.015,0,18.9851,0,0,0,0,0,0,24.9335,0,0.000332682,0.000332682,0.000332682
23,37.5166,0,19.0716,0,0,0,0,0,0,25.1213,0,0.000344168,0.000344168,0.000344168
24,38.9011,0,18.4976,0,0,0,0,0,0,25.1213,0,0.000355258,0.000355258,0.000355258
25,40.3631,0,18.4233,0,0,0,0,0,0,24.9863,0,0.000365952,0.000365952,0.000365952
26,41.8793,0,17.9598,0,0,0,0,0,0,24.9863,0,0.00037625,0.00037625,0.00037625
27,43.4344,0,17.9029,0,0,0,0,0,0,24.749,0,0.000386152,0.000386152,0.000386152
28,44.9326,0,17.6123,0,0,0,0,0,0,24.749,0,0.000395658,0.000395658,0.000395658
29,46.3717,0,17.631,0,0,0,0,0,0,25.1068,0,0.000404768,0.000404768,0.000404768
30,47.7379,0,16.9755,0,0,0,0,0,0,25.1068,0,0.000413482,0.000413482,0.000413482
31,49.3094,0,17.1193,0,0,0,0,0,0,26.7066,0,0.0004218,0.0004218,0.0004218
32,50.9552,0,16.5171,0,0,0,0,0,0,26.7066,0,0.000429722,0.000429722,0.000429722
33,52.5044,0,16.5869,0,0,0,0,0,0,37.8367,0,0.000437248,0.000437248,0.000437248
34,53.9615,0,16.1732,0,0,0,0,0,0,37.8367,0,0.000444378,0.000444378,0.000444378
35,55.4122,0,16.4192,0,0,0,0,0,0,34.1899,0,0.000451112,0.000451112,0.000451112
36,56.8587,0,15.8214,0,0,0,0,0,0,34.1899,0,0.00045745,0.00045745,0.00045745
